depolarizing_probability,teleportation_fidelity
0.0,0.9999999999999996
0.01,0.9373376196629696
0.02,0.8819697931310991
0.03,0.8331108845751306
0.04,0.7900531974576288
0.05,0.7521598938359239
0.06,0.7188584973983275
0.07,0.6896349372380981
0.08,0.6640280921256134
0.09,0.6416247976479328
0.1,0.6220552810525498
0.11,0.6049889909645467
0.12,0.5901307913493385
0.13,0.5772174911723571
0.14,0.566014683167749
0.15,0.5563138669757723
0.16,0.5479298336481283
0.17,0.5406982901569495
0.18,0.5344737040813354
0.19,0.5291273500898355
0.2,0.5245455411926482
